Profesión,Educación,Nivel de ahorro,Ingreso mensual aproximado,Probabilidad de vivir en Sarmiento,Fuentes de trabajo local,Sistema comercio local,Desempeño coop serv eléctrico,Atención del dispensario,Uso del Centro Cultural,Gestión municipal actual,Información sobre el municipio,Escuelas en condiciones adecuadas,Acciones en la administración pública
0,0,0,0,0,2,1,0,2,1,0,2,0,0,2
1,4,1,3,1,2,1,4,1,1,2,3,1,0,4
2,2,2,3,1,3,1,2,1,1,1,4,1,1,1
3,4,1,4,2,2,1,4,0,2,3,0,0,0,1
4,3,1,0,5,1,1,1,0,1,1,0,0,0,4
5,3,1,2,2,2,2,0,2,1,0,2,2,0,0
6,4,1,3,5,2,1,4,3,1,1,0,0,0,1
7,4,1,2,3,2,1,1,1,1,3,1,0,0,1
8,2,1,5,5,1,1,4,3,2,1,3,1,0,4
9,2,1,5,5,1,1,4,3,2,1,3,1,0,4
10,4,1,4,1,1,3,1,0,1,1,3,1,0,4
11,4,2,3,5,1,1,1,0,1,0,4,1,0,4
12,1,1,3,3,3,1,1,1,2,1,4,0,0,4
13,4,4,1,0,2,0,4,1,1,3,0,0,0,1
14,0,0,0,0,2,1,0,2,1,0,2,0,2,3
15,3,4,3,3,2,0,3,3,2,2,3,0,0,0
16,4,4,1,5,2,0,4,1,1,1,0,0,0,1
17,4,4,1,5,2,0,4,1,1,1,0,0,0,1
18,4,4,1,4,2,0,4,1,1,1,0,0,0,1
19,4,4,3,5,3,0,4,0,0,1,4,1,0,1
20,3,3,3,1,3,0,4,2,2,3,0,1,0,1
21,3,3,3,1,3,0,4,2,2,3,0,1,0,1
22,1,5,0,4,0,0,3,0,1,2,3,1,0,1
23,4,4,2,4,2,0,4,1,1,1,0,0,0,1
24,4,4,2,4,2,0,2,1,2,3,0,0,0,1
25,4,4,4,5,2,0,2,1,1,1,0,0,0,1
